RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,400,Minneapolis City Center Simulcast,Hennepin,44.9799654,-93.2638361,40,856.2375,856.2625,856.7625,856.9375,857.2375,857.2625,857.7625,857.8625,857.9375,858.237500c,858.262500c,858.4375,858.7375,858.7625,858.9375,859.2375,859.2625,859.4375,859.7375,859.762500c,859.9375,860.237500c,860.9375,,,,,
1,2,2,402,Anoka Co Simulcast,Anoka,45.233333,-93.291389,30,853.9125,853.6875,853.387500c,853.1375,853.0875,852.887500c,852.8125,852.387500c,852.2125,852.0625,851.937500c,851.6875,851.3875,851.3125,851.1375,,,,,,,,,,,,,
1,3,3,403,Dakota Co Simulcast,Dakota,44.69389,-93.07028,30,851.162500c,851.8375,852.1875,852.5875,853.062500c,853.312500c,853.3375,853.562500c,853.8625,853.5875,851.4875,852.9875,853.4875,859.9875,860.737500c,,,,,,,,,,,,,
1,4,4,404,Carver - Scott Co. Simulcast,Carver,44.68142,-93.61136,40,851.125,851.375,851.4375,851.7,851.887500c,852.075000c,852.437500c,852.7,852.8,852.9375,853.225,853.375,853.4625,853.787500c,854.5875,855.9875,,,,,,,,,,,,
1,5,5,405,Washington County Simulcast,Washington,44.99917,-92.96278,35,851.3625,851.7125,851.9875,852.125,852.225,852.35,852.425,852.625,852.85,853.525,853.737500c,856.5375,857.5375,851.1125,852.787500c,853.187500c,853.9,860.9375,,,,,,,,,,
1,6,6,,Chisago - Isanti Simulcast,Chisago,45.48,-93,32,851.6,851.775,852.15,852.462500c,853.25,853.45,853.6,853.050000c,860.262500c,859.2125,851.825,,,,,,,,,,,,,,,,,
1,9,9,409,Minneapolis N - S Simulcast,Hennepin,44.9799654,-93.2638361,15,851.0375,851.0625,851.2375,851.3375,851.4625,851.6375,851.7375,851.8625,852.037500c,852.137500c,852.2375,852.3375,852.5625,852.6375,852.7625,853.0375,853.1625,853.5125,853.662500c,853.812500c,851.7875,,,,,,,
1,92,5C,404,Rush City - Prison,Chisago,45.6855145,-92.9654903,10,854.537500c,854.737500c,857.6875,858.6875,,,,,,,,,,,,,,,,,,,,,,,,
1,96,60,,Lino Lakes - Prison,Anoka,45.179167,-93.130556,10,853.425,852.925000c,851.9,851.725,,,,,,,,,,,,,,,,,,,,,,,,
1,97,61,,Oak Park Heights - Prison,Washington,45.0313559,-92.7929842,10,859.037500c,855.9875,856.4875,858.4875,,,,,,,,,,,,,,,,,,,,,,,,
1,98,62,,Shakopee - Prison,Scott,44.7980186,-93.5268986,10,854.9625,856.737500c,857.4375,859.212500c,,,,,,,,,,,,,,,,,,,,,,,,
1,99,63,,Stillwater - Prison,Washington,45.0563558,-92.8060408,10,854.9875,856.2125,857.2125,859.487500c,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,40F,Hennepin Co. East Simulcast,Hennepin,44.9925,-93.359167,20,857.9625,858.7125,858.9625,859.9625,860.9625,851.0875,851.2125,851.5375,851.6125,851.7875,852.1125,852.162500c,852.287500c,852.362500c,852.475,852.5375,852.7375,852.8375,852.9625,853.2625,853.4375,853.5375,853.6125,853.837500c,854.4125,856.0125,857.7125,859.7125
2,2,2,40E,Hennepin Co. West Simulcast,Hennepin,45.044722,-93.573056,30,851.9625,851.9125,851.4125,852.262500c,852.4125,852.612500c,852.8625,852.9125,853.4125,853.637500c,853.887500c,856.7125,857.7125,858.2125,859.7125,854.4125,,,,,,,,,,,,
2,3,3,40D,Ramsey County Simulcast,Ramsey,44.9441,-93.0852,15,851.1875,851.2625,851.2875,851.5625,851.5875,851.6625,851.7625,851.8125,852.087500c,852.3125,852.6625,852.6875,852.7125,853.1125,853.2125,853.2375,853.2875,853.362500c,853.712500c,853.762500c,,,,,,,,
2,14,E,,Plymouth - Statewide Temp.,Itinerant,46.35,-94,250,854.212500c,854.6125,856.5125,857.0125,858.0125,,,,,,,,,,,,,,,,,,,,,,,
2,24,18,,Lakefield,Jackson,43.68797,-95.13347,20,859.7375,858.7375,852.9125,851.775000c,851.375000c,,,,,,,,,,,,,,,,,,,,,,,
2,25,19,,Brewster,Jackson,43.72067,-95.43972,20,859.462500c,857.4625,856.4625,852.462500c,851.9625,,,,,,,,,,,,,,,,,,,,,,,
2,26,1A,,Slayton,Murray,43.97756,-95.73369,20,858.2125,856.7375,855.7125,853.375000c,851.875000c,,,,,,,,,,,,,,,,,,,,,,,
2,27,1B,,Rushmore ,Nobles,43.70386,-95.85125,20,858.4625,857.9375,856.212500c,852.400000c,851.475,,,,,,,,,,,,,,,,,,,,,,,
2,28,1C,,Worthington,Nobles,43.60317,-95.703,20,852.937500c,855.2375,858.7625,859.7625,859.987500c,,,,,,,,,,,,,,,,,,,,,,,
2,29,1D,403,Hardwick,Rock,43.77575,-96.32911,20,851.9125,853.500000c,856.962500c,857.262500c,859.2125,,,,,,,,,,,,,,,,,,,,,,,
2,30,1E,,Windom,Jackson,43.8475,-95.12194,20,857.212500c,856.7125,855.4875,853.175000c,852.175,,,,,,,,,,,,,,,,,,,,,,,
2,31,1F,,Wanda,Redwood,44.31411,-95.21694,20,859.437500c,857.4375,854.962500c,852.4375,851.4375,,,,,,,,,,,,,,,,,,,,,,,
2,32,20,,Vesta,Redwood,44.48417,-95.49111,20,852.375,852.95,858.712500c,858.987500c,859.7125,,,,,,,,,,,,,,,,,,,,,,,
2,33,21,,Marshall,Lyon,44.44872,-95.74669,20,857.7625,853.900000c,853.4875,851.9875,856.762500c,,,,,,,,,,,,,,,,,,,,,,,
2,34,22,,Jeffers,Cottonwood,44.05292,-95.19878,20,859.9625,858.962500c,853.4,852.225,851.400000c,,,,,,,,,,,,,,,,,,,,,,,
2,35,23,,Mountain Lake,Cottonwood,43.94297,-94.9095,20,858.262500c,857.262500c,853.875,853.125,852.1,,,,,,,,,,,,,,,,,,,,,,,
2,36,24,400,Chandler,Murray,43.94333,-95.98222,20,851.425000c,852.875,853.425,856.437500c,859.2625,,,,,,,,,,,,,,,,,,,,,,,
2,37,25,404,Trosky,Pipestone,43.93347,-96.24356,20,851.45,852.475000c,856.2625,856.487500c,857.4875,,,,,,,,,,,,,,,,,,,,,,,
2,38,26,402,Beaver Creek,Rock,43.57325,-96.37539,20,852.100000c,852.437500c,855.7375,857.9625,859.4375,,,,,,,,,,,,,,,,,,,,,,,
2,39,27,401,Ellsworth,Rock,43.54608,-96.09392,20,853.4625,858.237500c,858.7125,858.9875,859.712500c,,,,,,,,,,,,,,,,,,,,,,,
2,77,4D,,Minneota,Lyon,44.5588502,-95.9855862,20,851.0875,851.3375,852.25,853.550000c,853.800000c,,,,,,,,,,,,,,,,,,,,,,,
2,78,4E,,Jackson,Jackson,43.61364,-95.01053,20,851.075,851.325,851.8375,853.562500c,853.812500c,,,,,,,,,,,,,,,,,,,,,,,
2,79,4F,,Olivia,Renville,44.77635,-94.9897214,15,851.325,851.7125,852.2,853.237500c,853.387500c,,,,,,,,,,,,,,,,,,,,,,,
